jp,en,file
合格で～す！,Passed~!,romfs\story\spt\f05_180_114_10_t013.spt
扉2-3中1,Door 2-3 middle 1,romfs\story\spt\f05_180_115_20.spt
扉2-3左1,Door 2-3 left 1,romfs\story\spt\f05_180_115_20.spt
扉3-4中1,Doors 3-4 middle 1,romfs\story\spt\f05_180_115_20.spt
扉3-4中2,"Doors 3-4, middle 2",romfs\story\spt\f05_180_115_20.spt
扉3-4左1,Door 3-4 left 1,romfs\story\spt\f05_180_115_20.spt
扉3-4左2,Door 3-4 left 2,romfs\story\spt\f05_180_115_20.spt
ありがとう,Thank you.,romfs\story\spt\f05_180_115_20_t011.spt
お前がこっそり隠れてたのなんて,I can't believe you've been sneaking around.,romfs\story\spt\f05_180_115_20_t011.spt
だから昨日ほら――　あ。,"So yesterday, you see -- oh.",romfs\story\spt\f05_180_115_20_t011.spt
だってお前、オレのこと…,Because you're...,romfs\story\spt\f05_180_115_20_t011.spt
とっくにお見通しだ。,I've already seen it coming.,romfs\story\spt\f05_180_115_20_t011.spt
とっくにお見通しなのだ。,They have long since figured it out.,romfs\story\spt\f05_180_115_20_t011.spt
な、なんでもない。,"Nah, it's nothing.",romfs\story\spt\f05_180_115_20_t011.spt
なんでそう思ってると思ったんだ？,What makes you think I think that?,romfs\story\spt\f05_180_115_20_t011.spt
へん,area (e.g. in programming languages),romfs\story\spt\f05_180_115_20_t011.spt
オレぜったいダメだと思ってたよ。,I thought it was a total no-no.,romfs\story\spt\f05_180_115_20_t011.spt
ダメマスターって思ってるんだろ？　だから――,"You think I'm a bad master, don't you?　That's why--",romfs\story\spt\f05_180_115_20_t011.spt
ダメマスター？,Bad master?,romfs\story\spt\f05_180_115_20_t011.spt
今さら隠したってムダだぞ。,It's no use hiding it now.,romfs\story\spt\f05_180_115_20_t011.spt
今さら隠したってムダなのだ。,It is useless to hide it now.,romfs\story\spt\f05_180_115_20_t011.spt
ええっ。,Eh.,romfs\story\spt\f05_180_115_20_t012.spt
お前、オレのことぜんぜん信じてないだろ。,"You don't believe me at all, do you?",romfs\story\spt\f05_180_115_20_t012.spt
お前セッシャのことぜんぜん信じてないだろ。,"You don't believe in Sesha at all, do you?",romfs\story\spt\f05_180_115_20_t012.spt
するはずないもんな！,I don't think so!,romfs\story\spt\f05_180_115_20_t012.spt
そういうのはすぐにわかるんだ。,I know those things right away.,romfs\story\spt\f05_180_115_20_t012.spt
そういうのはすぐにわかるんだぞ。,You know those things right off the bat.,romfs\story\spt\f05_180_115_20_t012.spt
それじゃひょっとして、昨日のアレ,"Then, by any chance, that thing from yesterday?",romfs\story\spt\f05_180_115_20_t012.spt
わざとじゃないぞ、本当のことだ。,"I didn't do it on purpose, it's true.",romfs\story\spt\f05_180_115_20_t012.spt
オレが聞いてるからって、わざと…？？,"Just because I'm listening, you did that on purpose?",romfs\story\spt\f05_180_115_20_t012.spt
フローラがレーダーサイトつけてるからな。,Flora is wearing a radar sight.,romfs\story\spt\f05_180_115_20_t012.spt
信じてたら、こっそり盗み聞きなんて,"If I believed in it, I wouldn't sneak in and eavesdrop.",romfs\story\spt\f05_180_115_20_t012.spt
信じてるヤツが、こっそり盗み聞きなんて,I can't believe someone I trust is sneaking around and eavesdropping on me.,romfs\story\spt\f05_180_115_20_t012.spt
あんな時間に急にいなくなったら,If he suddenly disappeared at that hour...,romfs\story\spt\f05_180_115_20_t013.spt
そ、そんなんじゃないよ。,"No, it's not like that.",romfs\story\spt\f05_180_115_20_t013.spt
そういうことにしてやる。,That's what I'm going to do.,romfs\story\spt\f05_180_115_20_t013.spt
そういうことにしてやろう。,Let's make it that way.,romfs\story\spt\f05_180_115_20_t013.spt
そしたら、あんなところに集まってるからさ,And then they're all over the place.,romfs\story\spt\f05_180_115_20_t013.spt
ついつい聞いちゃっただけで,I just got caught up in asking.,romfs\story\spt\f05_180_115_20_t013.spt
ふうん、ならいい。,"Hmm, okay then.",romfs\story\spt\f05_180_115_20_t013.spt
ほお、ならいい。,"Oh, okay, then.",romfs\story\spt\f05_180_115_20_t013.spt
ホントだよ！,It's true!,romfs\story\spt\f05_180_115_20_t013.spt
心配して探すだろ、フツー？,"You're worried about them. You're looking for them, right?",romfs\story\spt\f05_180_115_20_t013.spt
本当か？,Really?,romfs\story\spt\f05_180_115_20_t013.spt
目が覚めたらお前がいなかったんだ。,I woke up and you were gone.,romfs\story\spt\f05_180_115_20_t013.spt
い、いやちょっと待ってくださいよ,"No, no, no, wait a minute.",romfs\story\spt\f05_180_115_20_t111.spt
いったいどこで覚えてくるんだよ…,Where in the world do they learn that...,romfs\story\spt\f05_180_115_20_t111.spt
うん…,Yeah...,romfs\story\spt\f05_180_115_20_t111.spt
お礼をするとき、なにかくれるのだろう？,"When I thank them, will they give me something?",romfs\story\spt\f05_180_115_20_t111.spt
お礼をするとき、なにかくれるんだろ？,"When I thank you, you give me something, right?",romfs\story\spt\f05_180_115_20_t111.spt
くれ！　お礼！,Give me!　Thanks!,romfs\story\spt\f05_180_115_20_t111.spt
これで夏休み復活だー！,Now summer vacation is back!,romfs\story\spt\f05_180_115_20_t111.spt
そうだな、お前のおかげだ。,"Yes, you did.",romfs\story\spt\f05_180_115_20_t111.spt
それとんでもない超レア物じゃあないですか。,"That's a very rare item, isn't it?",romfs\story\spt\f05_180_115_20_t111.spt
で、なにがほしいんだよ。,"So, what do you want?",romfs\story\spt\f05_180_115_20_t111.spt
ところで人間っていうのは,"By the way, people are...",romfs\story\spt\f05_180_115_20_t111.spt
どこでもいいぞ。,Anywhere.,romfs\story\spt\f05_180_115_20_t111.spt
どこでもいいのだ。,It doesn't matter where.,romfs\story\spt\f05_180_115_20_t111.spt
なにかくれ。,Give me something.,romfs\story\spt\f05_180_115_20_t111.spt
なんかくれ。,Give me something.,romfs\story\spt\f05_180_115_20_t111.spt
はああ！？,Huh!,romfs\story\spt\f05_180_115_20_t111.spt
わ、わかったよ…,"Wow, okay...",romfs\story\spt\f05_180_115_20_t111.spt
オレのおかげだな！,Thanks to me!,romfs\story\spt\f05_180_115_20_t111.spt
ガンノウズ一式がいい。,I prefer a set of gunnows.,romfs\story\spt\f05_180_115_20_t111.spt
サンジューロ一式がいい。,I like the San Giulo set.,romfs\story\spt\f05_180_115_20_t111.spt
セッシャのおかげだな！,Thanks to Sesha!,romfs\story\spt\f05_180_115_20_t111.spt
ヘンなこと知ってるなあ。,You know some weird stuff.,romfs\story\spt\f05_180_115_20_t111.spt
ちょっと待てって。,Wait a minute.,romfs\story\spt\f05_180_115_20_t112.spt
とてもとても――,"Very, very--",romfs\story\spt\f05_180_115_20_t112.spt
ボクのよーなビンボー人には,For a bum like me.,romfs\story\spt\f05_180_115_20_t112.spt
そのうち必ずプレゼントするよ、約束する！,"I'll get you a present one of these days, I promise!",romfs\story\spt\f05_180_115_20_t113.spt
ふうん、わかった。,"Hmmm, okay.",romfs\story\spt\f05_180_115_20_t113.spt
わかった、今すぐには無理だけど…,"Okay, not right now, but...",romfs\story\spt\f05_180_115_20_t113.spt
…なあ。,...Hey.,romfs\story\spt\f05_180_115_20_t211.spt
そんなこと言わずにさあ。,Don't say that.,romfs\story\spt\f05_180_115_20_t211.spt
ナイショだ。,It's a secret.,romfs\story\spt\f05_180_115_20_t211.spt
ナイショなのだ。,It is naisho.,romfs\story\spt\f05_180_115_20_t211.spt
面接で、どんなこと聞かれたの？,What questions did they ask you during the interview?,romfs\story\spt\f05_180_115_20_t211.spt
あ、おい！,"Oh, hey!",romfs\story\spt\f05_180_115_20_t212.spt
…まいっか！,...Oh well!,romfs\story\spt\f05_180_115_20_t213.spt
明日から夏休みだし！,It's summer vacation starting tomorrow!,romfs\story\spt\f05_180_115_20_t213.spt
お～い！,Oi~!,romfs\story\spt\f05_180_115_20_t214.spt
待てよ,Wait a minute.,romfs\story\spt\f05_180_115_20_t214.spt
イベント地点へ,Go to the event point,romfs\story\spt\f05_180_210_00.spt
メダロット集会,medallion rally,romfs\story\spt\f05_180_210_00.spt
帰り方向,return direction,romfs\story\spt\f05_180_210_00.spt
覗き見,peeking,romfs\story\spt\f05_180_210_00.spt
隠れる,be hidden,romfs\story\spt\f05_180_210_00.spt
でもさー。,But you know what?,romfs\story\spt\f05_180_210_00_t011.spt
あいつはダメマスターだ！,He's a bad master!,romfs\story\spt\f05_180_210_00_t012.spt
いくらロボトルで頼りになっても,No matter how much you can count on them to be robotolerant.,romfs\story\spt\f05_180_210_00_t012.spt
いっしょにスイーツつくったり,Making sweets together,romfs\story\spt\f05_180_210_00_t012.spt
うちのアオイは、それほど変わらないけどねえ。,"My aoi is not so different, though.",romfs\story\spt\f05_180_210_00_t012.spt
うむ信頼だ。,Mm trust.,romfs\story\spt\f05_180_210_00_t012.spt
えへへ,tee-hee,romfs\story\spt\f05_180_210_00_t012.spt
おう！　なんか言え,Oh!　Say something.,romfs\story\spt\f05_180_210_00_t012.spt
お前が始めたんだぞ！,You started it!,romfs\story\spt\f05_180_210_00_t012.spt
お買い物にもいっしょに行けないとぉ。,I have to go shopping with them.,romfs\story\spt\f05_180_210_00_t012.spt
してないかも。,Maybe I haven't.,romfs\story\spt\f05_180_210_00_t012.spt
そうだな…,Well...,romfs\story\spt\f05_180_210_00_t012.spt
そうだなー。,I guess so.,romfs\story\spt\f05_180_210_00_t012.spt
そうなの？,Really?,romfs\story\spt\f05_180_210_00_t012.spt
そんなことないですよぅ。,That's not true.,romfs\story\spt\f05_180_210_00_t012.spt
だからオレも、あいつのこと信頼しない。,That's why I don't trust him either.,romfs\story\spt\f05_180_210_00_t012.spt
だからセッシャも、あいつのこと信頼しないぞ。,"So Sesha, I wouldn't trust that guy either.",romfs\story\spt\f05_180_210_00_t012.spt
だけど――,But--,romfs\story\spt\f05_180_210_00_t012.spt
だってあいつ、オレのこと信頼してないもん。,Because he doesn't trust me.,romfs\story\spt\f05_180_210_00_t012.spt
だってあいつ、セッシャのこと信頼してないからな。,Because that guy doesn't trust Cesha.,romfs\story\spt\f05_180_210_00_t012.spt
だってオレ、アイツとお菓子なんて作らないしな。,Because I don't make sweets with him.,romfs\story\spt\f05_180_210_00_t012.spt
だな！,Right!,romfs\story\spt\f05_180_210_00_t012.spt
ってことばっかするからな。,I'm going to do all the things that I'm going to do.,romfs\story\spt\f05_180_210_00_t012.spt
なんか違うと思わない？,Don't you think something is different?,romfs\story\spt\f05_180_210_00_t012.spt
のマスターは、どうなの？,What about the master of the,romfs\story\spt\f05_180_210_00_t012.spt
へえ、見かけによらないな。,"Heh, looks can be deceiving.",romfs\story\spt\f05_180_210_00_t012.spt
ま、うちのボスもそうだけどな。,"Well, my boss is the same way.",romfs\story\spt\f05_180_210_00_t012.spt
やっぱシンライだよな！,I knew it was Sinlai!,romfs\story\spt\f05_180_210_00_t012.spt
アイツは最高のマスターだぜ！,"He's the best master, man!",romfs\story\spt\f05_180_210_00_t012.spt
イメージどおりじゃないか。,Isn't it just as I imagined?,romfs\story\spt\f05_180_210_00_t012.spt
オレの背中を任せられるのはリュウセイだけだ！,Only Ryusei can be trusted with my back!,romfs\story\spt\f05_180_210_00_t012.spt
コンゴー,Congo,romfs\story\spt\f05_180_210_00_t012.spt
ザクロ,garlic chive (Allium tuberosum),romfs\story\spt\f05_180_210_00_t012.spt
ザクロのマスター、お菓子なんて作るの？,"Pomegranate master, do you make any sweets?",romfs\story\spt\f05_180_210_00_t012.spt
シンライ？,Sinlai?,romfs\story\spt\f05_180_210_00_t012.spt
ジジイかよ！,You're an old man!,romfs\story\spt\f05_180_210_00_t012.spt
ニンゲンは周りにほかの人間がいるかいないかで,Ningen depends on whether other people are around or not.,romfs\story\spt\f05_180_210_00_t012.spt
フローラ,flora,romfs\story\spt\f05_180_210_00_t012.spt
ワタシはそれだけじゃイヤですぅ。,I don't want to do just that.,romfs\story\spt\f05_180_210_00_t012.spt
仲がいいから、いいマスターってのは,"I'm a good friend, so I'm not a good master.",romfs\story\spt\f05_180_210_00_t012.spt
仲良くはないのかも。,Maybe they don't get along.,romfs\story\spt\f05_180_210_00_t012.spt
信頼かー。,"Trust, huh?",romfs\story\spt\f05_180_210_00_t012.spt
信頼してたら、しないだろ！！,"If you trusted them, you wouldn't!",romfs\story\spt\f05_180_210_00_t012.spt
信頼はできるのか？,Can you trust them?,romfs\story\spt\f05_180_210_00_t012.spt
共通の趣味なんですよぅ。,It's a common hobby.,romfs\story\spt\f05_180_210_00_t012.spt
性格が変わるものなのだ。,It is a change of character.,romfs\story\spt\f05_180_210_00_t012.spt
絶対の信頼がなければ、よいマスターとは言えぬ。,"Without absolute trust, one cannot be a good master.",romfs\story\spt\f05_180_210_00_t012.spt
趣味ボンサイなんだぜ！,He's a hobby bonsai!,romfs\story\spt\f05_180_210_00_t012.spt
そんな風に思ってたなんて…,I can't believe I thought that.,romfs\story\spt\f05_180_210_00_t013.spt
帰ろ…,Go home...,romfs\story\spt\f05_180_210_00_t013.spt
マイン0b,Mine0b,romfs\story\spt\f06_015_161_00.spt
マインPC前,Before Mine PC,romfs\story\spt\f06_015_161_00.spt
ミオスペース前,In front of Mio Space,romfs\story\spt\f06_015_161_00.spt
合成機前,Synthesizer front,romfs\story\spt\f06_015_161_00.spt
こんなだだっ広くてな～んにもない地下室だもの。,"It's such a huge, empty basement.",romfs\story\spt\f06_015_161_00_t012.spt
なっ、なんですかアレは…っ。,What is that thing...?,romfs\story\spt\f06_015_161_00_t012.spt
なによ、別にいいでしょ。,What? It doesn't matter.,romfs\story\spt\f06_015_161_00_t012.spt
ぱっ…,Pow...,romfs\story\spt\f06_015_161_00_t012.spt
ほんのちょっとの改装くらい大目に見てほしいわね。,I hope you can tolerate just a little bit of remodeling.,romfs\story\spt\f06_015_161_00_t012.spt
パーソナル・スペースよ。,Personal space.,romfs\story\spt\f06_015_161_00_t012.spt
見たらわかるでしょ。,You'll know it when you see it.,romfs\story\spt\f06_015_161_00_t012.spt
マインちゃんのブースはまあ,"Mine's booth is, well.",romfs\story\spt\f06_015_161_00_t013.spt
必要なんだろうなってわかるけど――,"I can see why you might need it, but--",romfs\story\spt\f06_015_161_00_t013.spt
あれは…,That was...,romfs\story\spt\f06_015_161_00_t014.spt
あっ！！！,Ah!,romfs\story\spt\f06_017_161_00_t011.spt
ありがとうマインちゃん、試してみるよ。,"Thanks Mine, I'll give it a try.",romfs\story\spt\f06_017_161_00_t011.spt
これだけは注意してください。,Please note this.,romfs\story\spt\f06_017_161_00_t011.spt
ぜひ試してみてください。,Please give it a try.,romfs\story\spt\f06_017_161_00_t011.spt
それぞれの環境で得た特性を打ち消し合うことがあり,"The characteristics acquired in each environment may cancel each other out, and",romfs\story\spt\f06_017_161_00_t011.spt
それはメダリア合成機です。,It is a medallia synthesizer.,romfs\story\spt\f06_017_161_00_t011.spt
だいじょぶです。,It's all right.,romfs\story\spt\f06_017_161_00_t011.spt
てきとーにやってもちゃんと強くなります。,"Even if you do it in a very simple way, it will be very strong.",romfs\story\spt\f06_017_161_00_t011.spt
な、なにっ？,What?,romfs\story\spt\f06_017_161_00_t011.spt
へえ…,Heh...,romfs\story\spt\f06_017_161_00_t011.spt
ようやく法則を見つけました。,I finally found the law.,romfs\story\spt\f06_017_161_00_t011.spt
わ、わかった…,"Wow, okay...",romfs\story\spt\f06_017_161_00_t011.spt
わあ！,Wow!,romfs\story\spt\f06_017_161_00_t011.spt
スキルも失われてしまいます。,Skills will also be lost.,romfs\story\spt\f06_017_161_00_t011.spt
ベースにしたメダリアのレベルになるのです。,It will be at the level of the medallion based on the base.,romfs\story\spt\f06_017_161_00_t011.spt
使わないメダリアが増えてきたら,If you have more medallions that you don't use.,romfs\story\spt\f06_017_161_00_t011.spt
元々ひとカタマリの物質だったメダリアは,"Originally a single lump of material, medallia",romfs\story\spt\f06_017_161_00_t011.spt
合成したメダリアの合計レベルが,The total level of synthesized medallions is,romfs\story\spt\f06_017_161_00_t011.spt
合成したメダリアは消えてしまいます。,The synthesized medallions will disappear.,romfs\story\spt\f06_017_161_00_t011.spt
大事なメダリアは必ずベースに使ってください。,Be sure to use the important medallions as a base.,romfs\story\spt\f06_017_161_00_t011.spt
実用レベルに仕上がったので持ってきました。,I brought it because it was finished to a practical level.,romfs\story\spt\f06_017_161_00_t011.spt
実用化の壁になっていました。,It was a barrier to practical application.,romfs\story\spt\f06_017_161_00_t011.spt
比較的簡単に合成することができます。,It is relatively easy to synthesize.,romfs\story\spt\f06_017_161_00_t011.spt
約束です！,Promises!,romfs\story\spt\f06_017_161_00_t011.spt
言い忘れました。,I forgot to say.,romfs\story\spt\f06_017_161_00_t011.spt
まだ部長が来てないな…,I don't see the director here yet...,romfs\story\spt\f06_018_161_00_t011.spt
みんなと話でもしながら待とう。,Let's wait and talk with everyone.,romfs\story\spt\f06_018_161_00_t011.spt
会議2,Conference 2,romfs\story\spt\f06_020_161_00.spt
会議6,Conference 6,romfs\story\spt\f06_020_161_00.spt
あ、だけど親が心配しちゃって…,"Oh, but my parents got worried...",romfs\story\spt\f06_020_161_00_t011.spt
そっか、リョウマさんも帰ってきたばかりでしたね。,"I see, Ryoma-san had just returned, too.",romfs\story\spt\f06_020_161_00_t011.spt
どうだ,How's it goin'?,romfs\story\spt\f06_020_161_00_t011.spt
どうでした？,How was it?,romfs\story\spt\f06_020_161_00_t011.spt
ふつうだった。,It was normal.,romfs\story\spt\f06_020_161_00_t011.spt
ふつうに親と会って,I usually meet with my parents.,romfs\story\spt\f06_020_161_00_t011.spt
もちろんです！,Of course!,romfs\story\spt\f06_020_161_00_t011.spt
やあやあ、しょくん。,"Hey there, Shokun.",romfs\story\spt\f06_020_161_00_t011.spt
地元のやつらと会ってメシ食って――,"I met up with some locals, had a bite to eat...",romfs\story\spt\f06_020_161_00_t011.spt
夏休み、戻ってくると思い込んでたんですよねー。,"Summer vacation, I assumed you would be back!",romfs\story\spt\f06_020_161_00_t011.spt
夏休みは楽しめているか？,Are you enjoying your summer vacation?,romfs\story\spt\f06_020_161_00_t011.spt
期間は短いがな。,"The duration is short, though.",romfs\story\spt\f06_020_161_00_t011.spt
１年のうちは冬まで一時帰宅できないからな。,We can't furlough for the rest of the year until winter.,romfs\story\spt\f06_020_161_00_t011.spt
２年に上がれば、夏も帰れるようになるさ。,"Once you move up to sophomore year, you'll be able to go home for the summer.",romfs\story\spt\f06_020_161_00_t011.spt
あんたが呼び出したんでしょうが,You're the one who called me.,romfs\story\spt\f06_020_161_00_t021.spt
このトーヘンボク。,This tohenbok.,romfs\story\spt\f06_020_161_00_t021.spt
やることないの？　あっはっは。,Don't you have anything to do?　Ah-ha-ha.,romfs\story\spt\f06_020_161_00_t021.spt
全員そろってるね。,You're all here.,romfs\story\spt\f06_020_161_00_t021.spt
夏休みだっていうのにヒマ人だねー。,"It's summer vacation, and you're a busy man!",romfs\story\spt\f06_020_161_00_t021.spt
おや、そうだっけ。,"Oh, right.",romfs\story\spt\f06_020_161_00_t022.spt
これは失礼、はっはっは。,"This is rude, haha.",romfs\story\spt\f06_020_161_00_t022.spt
ごキゲンだな…　で要件はなんだ。,You're looking good... so what are your requirements?,romfs\story\spt\f06_020_161_00_t022.spt
どうせ例の設計図のことなんだろう？,"You're talking about the blueprints anyway, right?",romfs\story\spt\f06_020_161_00_t022.spt
ねえ、マインちゃん？,"Hey, Mine?",romfs\story\spt\f06_020_161_00_t022.spt
もちろんですとも。,Of course.,romfs\story\spt\f06_020_161_00_t022.spt
すると端末からメダリアの位置情報がわかります。,You can then find out the location of the medallion from the terminal.,romfs\story\spt\f06_020_161_00_t023.spt
そこでぼくらの出番ってわけさ。,That's where we come in.,romfs\story\spt\f06_020_161_00_t023.spt
それはすごい、もう使えるのか！？,"That's great, it's already available!",romfs\story\spt\f06_020_161_00_t023.spt
まだですー。,Not yet.,romfs\story\spt\f06_020_161_00_t023.spt
スマホでいいです。,Just use your phone.,romfs\story\spt\f06_020_161_00_t023.spt
スマホでいいのかっ？,Is a smart phone good enough?,romfs\story\spt\f06_020_161_00_t023.spt
データ化に成功しました。,Successfully converted to data.,romfs\story\spt\f06_020_161_00_t023.spt
メダリアは音を出すのか？,Does the medallia make a sound?,romfs\story\spt\f06_020_161_00_t023.spt
メダロッチを起動しておけば勝手に反応します。,"If you activate the medalloch, it will respond on its own.",romfs\story\spt\f06_020_161_00_t023.spt
人間には聞こえない周波です。,It is a frequency that humans cannot hear.,romfs\story\spt\f06_020_161_00_t023.spt
出します。,I will put it out.,romfs\story\spt\f06_020_161_00_t023.spt
正の位置情報だけ端末に送り返します。,Only positive location information is sent back to the terminal.,romfs\story\spt\f06_020_161_00_t023.spt
発信源の座標を可視化するプログラムでしたー。,It was a program to visualize the coordinates of the originating source.,romfs\story\spt\f06_020_161_00_t023.spt
端末…,Terminal...,romfs\story\spt\f06_020_161_00_t023.spt
設計図はメダリアが出す音波をつかまえて,The blueprints grab the sound waves that the medallion produces.,romfs\story\spt\f06_020_161_00_t023.spt
設計図を解析しました。,The blueprints were analyzed.,romfs\story\spt\f06_020_161_00_t023.spt
音波…,Sonic...,romfs\story\spt\f06_020_161_00_t023.spt
音波を端末で拾ってＰＣに送って解析して,The sound waves are picked up by a terminal and sent to a PC for analysis.,romfs\story\spt\f06_020_161_00_t023.spt
これ持ってってください。,Please take this.,romfs\story\spt\f06_020_161_00_t024.spt
というと？,What does that mean?,romfs\story\spt\f06_020_161_00_t024.spt
島のあちこちで音波を観測してほしいのです。,We want you to observe sound waves all over the island.,romfs\story\spt\f06_020_161_00_t024.spt
観測データが必要なんだって。,They need observational data.,romfs\story\spt\f06_020_161_00_t024.spt
あと、お留守番もよろしくね。,"Also, please take care of your stay at home.",romfs\story\spt\f06_020_161_00_t025.spt
いってらっしゃいませー。,Have a good day!,romfs\story\spt\f06_020_161_00_t025.spt
さっそく行動にうつろうじゃないか。,Let's get to work right away.,romfs\story\spt\f06_020_161_00_t025.spt
そこ行って測ってみてほしいです。,I would like you to go there and measure it.,romfs\story\spt\f06_020_161_00_t025.spt
というわけなんだ。,That's why.,romfs\story\spt\f06_020_161_00_t025.spt
マインちゃんは引き続き作業と――,Mine continues to work and--,romfs\story\spt\f06_020_161_00_t025.spt
観測してほしい場所を掲示板にあげました。,I have given the board the locations I would like you to observe.,romfs\story\spt\f06_020_161_00_t025.spt
マインカメラ,Mein Kamera,romfs\story\spt\f06_050_161_00.spt
おまたせマインちゃん。,"Hello again, Mine.",romfs\story\spt\f06_050_161_00_t011.spt
役に立ちそう…？,Does it seem useful...?,romfs\story\spt\f06_050_161_00_t011.spt
結果は掲示板に上げておいたけど…,I put the results up on the board...,romfs\story\spt\f06_050_161_00_t011.spt
頼まれてた測定、終わったよ。,"The measurement you asked me to do, I'm done.",romfs\story\spt\f06_050_161_00_t011.spt
……むむ！,...... mmm!,romfs\story\spt\f06_050_161_00_t012.spt
なになに！？,"What, what, what!",romfs\story\spt\f06_050_161_00_t012.spt
マインPC向き,Mine PC oriented,romfs\story\spt\f06_050_161_00_t012.spt
スマホ確認してみてください。,Please check your phone.,romfs\story\spt\f06_050_161_00_t013.spt
06ラピス,06 Lapis,romfs\story\spt\f06_060_161_00.spt
ミオ0b,mio0b,romfs\story\spt\f06_060_161_00.spt
いいよ。,All right.,romfs\story\spt\f06_060_161_00_t011.spt
このメダリアつけて、ちょっと動いてみてよ。,Put on this medallion and move a little bit.,romfs\story\spt\f06_060_161_00_t011.spt
これがメダリアの探知音ってわけね。,So this is the sound of the medallion detection.,romfs\story\spt\f06_060_161_00_t011.spt
ですー。,I am a member of the board of directors of the company.,romfs\story\spt\f06_060_161_00_t011.spt
なんの音？,What's that sound?,romfs\story\spt\f06_060_161_00_t011.spt
ねね,bed-time (for a baby),romfs\story\spt\f06_060_161_00_t011.spt
ははん、わかった。,"Hahan, okay.",romfs\story\spt\f06_060_161_00_t011.spt
、もうちょっと遠く――,A little farther--,romfs\story\spt\f06_060_161_00_t012.spt
これは…　すごいな。,This is... amazing.,romfs\story\spt\f06_060_161_00_t012.spt
そう、パーツボックスのあたりまで歩いてみてよ。,"Yes, you should walk to the parts box area.",romfs\story\spt\f06_060_161_00_t012.spt
どうしたの？　ミオ。,What's wrong?　Mio.,romfs\story\spt\f06_060_161_00_t012.spt
へえ、距離もわかるんですねー。,"Wow, you can tell the distance too!",romfs\story\spt\f06_060_161_00_t012.spt
せいぜい半径５メートルってとこなんだけど…,I'm talking about a 5 meter radius at most...,romfs\story\spt\f06_060_161_00_t013.spt
ちがうんですー！,"No, it's not!",romfs\story\spt\f06_060_161_00_t013.spt
探索範囲、狭すぎない？,"Search area, too narrow?",romfs\story\spt\f06_060_161_00_t013.spt
あっ、ですです！,"Ah, yes!",romfs\story\spt\f06_060_161_00_t014.spt
いつだって、たくさんのいろんな音が飛んでます。,There are always a lot of different sounds flying around.,romfs\story\spt\f06_060_161_00_t014.spt
こんなのゼッタイおかしいです。,This is definitely not right.,romfs\story\spt\f06_060_161_00_t014.spt
じゃあ、どのモンダイがモンダイなのよ？,So which mondai is mondai?,romfs\story\spt\f06_060_161_00_t014.spt
それは、人工的なものなのかい？,Is it artificial?,romfs\story\spt\f06_060_161_00_t014.spt
ちゃんと動いてるほうが問題なのです！,It is more problematic if it is working properly!,romfs\story\spt\f06_060_161_00_t014.spt
でも、それ以外に考えられないです。,But I can't think of anything else.,romfs\story\spt\f06_060_161_00_t014.spt
どれが問題の音なのかは特定できないです。,I can't identify which one is the sound in question.,romfs\story\spt\f06_060_161_00_t014.spt
ないです！,There is no such thing!,romfs\story\spt\f06_060_161_00_t014.spt
まだなにか残っている問題があるとか…,Is there any remaining problem?,romfs\story\spt\f06_060_161_00_t014.spt
わかりません。,I do not know.,romfs\story\spt\f06_060_161_00_t014.spt
メダリアの音波に干渉して,Interference with the sound waves of the medallia.,romfs\story\spt\f06_060_161_00_t014.spt
原因はきっと外にあります。,The cause is surely outside.,romfs\story\spt\f06_060_161_00_t014.spt
問題があったらもっと問題が出ます！,"If there are problems, there will be more problems!",romfs\story\spt\f06_060_161_00_t014.spt
外…？,Outside...?,romfs\story\spt\f06_060_161_00_t014.spt
妨害電波――　いや,Jamming-- No.,romfs\story\spt\f06_060_161_00_t014.spt
妨害音波が存在する、ってこと？,Does this mean that interfering sound waves exist?,romfs\story\spt\f06_060_161_00_t014.spt
打ち消しあう周波の存在です。,It is the presence of frequencies that cancel each other out.,romfs\story\spt\f06_060_161_00_t014.spt
本当はもっと遠くまで届くはずなんです。,"In truth, it should reach farther.",romfs\story\spt\f06_060_161_00_t014.spt
自然界でも無音はあり得ません。,Silence is not possible even in nature.,romfs\story\spt\f06_060_161_00_t014.spt
突き止めます！,We will find out!,romfs\story\spt\f06_060_161_00_t015.spt
しばらく、そっとしとこうか。,Let's leave it alone for a while.,romfs\story\spt\f06_060_161_00_t016.spt
すごい集中力だなあ。,That's a great concentration.,romfs\story\spt\f06_060_161_00_t016.spt
マインちゃ～ん！,Mine-chan~!,romfs\story\spt\f06_060_161_00_t016.spt
06音波観測後,06 After sound wave observation,romfs\story\spt\f06_070_161_00.spt
抱え花火箱,fireworks box,romfs\story\spt\f06_070_161_00.spt
生徒会役員男B,Student Council Officer Man B,romfs\story\spt\f06_070_161_00.spt
花火箱,fireworks box,romfs\story\spt\f06_070_161_00.spt
前が見えぬものでな。,I can't see what's ahead.,romfs\story\spt\f06_070_161_00_t021.spt
失礼。,Excuse me.,romfs\story\spt\f06_070_161_00_t021.spt
退いてくれるか。,Will you step aside?,romfs\story\spt\f06_070_161_00_t021.spt
さいですか。,"Are you a member of the ""I"" group?",romfs\story\spt\f06_070_161_00_t031.spt
しばらく預かってくれ。,Keep it for a while.,romfs\story\spt\f06_070_161_00_t031.spt
